,Authors,Citations,Date,Full Text Available,Journal,Stats,Summary,Title,Journals,First Author
628,"M Geißendörfer, A Liebscher, C Proppe",11,2014,No,Probabilistic …,"M Geißendörfer, A Liebscher, C Proppe… - Probabilistic …, 2014 - Elsevier","… the basic deformation mechanism is bending dominated, the mechanical model of metal foam
is a … of the solid structure [2]. Due to the heterogeneity of metal foams, the representative … In Section
6, predictions are compared with experiments for an open cell copper foam and in …",Stochastic multiscale modeling of metal foams,Probabilistic …,M Geißendörfer
629,"MD Demetriou, G Duan, WL Johnson",63,2010,No,US Patent …,"MD Demetriou, G Duan, WL Johnson… - US Patent …, 2010 - Google Patent","… growth as a consequence of the viscosity being Newtonian (ie strain-rate insensitive) at the
foaming temperature … Insert molding of bulk amorphous alloy into open cell foam … Insert casting
or tack welding of machinable metal in bulk amorphous alloy part and post machining the …",Amorphous Fe and Co based metallic foams and methods of producing the same,US Patent …,MD Demetriou
630,"C Tekog, LJ Gibson, T Pardoen, PR Onc",129,2011,[PDF] uclouvain.be,Progress in Materials Science,"C Tekog, LJ Gibson, T Pardoen, PR Onck - Progress in Materials Science, 2011 - Elsevier","… 3.1. Uniaxial compression. A large experimental literature is available on uniaxial compression
of metal foams, while only few studies focus on the effect of the sample size under compression;
Fig … In Andrews et al. [11], open-cell aluminum foam (Duocel) cylinders with …",Size effects in foams: Experiments and modeling,Progress in Materials Science,C Tekog
631,"MF Cahill, GS Sha",20,2001,No,US Patent 6,"MF Cahill, GS Shaw - US Patent 6,238,819, 2001 - Google Patent","… foams which are made conductive by coating with a latex graphite are commercially available
and are marketed by Foamex International, Inc. A continuous production process for preparing
a preferred metal foam support member in sheet form using an open-cell foam …","Metal foam support, electrode and method of making same","US Patent 6,238,819",MF Cahill
632,"A Inayat, H Freund, A Schwab, T Zeiser",24,2011,No,Advanced …,"A Inayat, H Freund, A Schwab, T Zeiser… - Advanced …, 2011 - Wiley Online Library","… Jodłowski, Joanna Łojewska, Jolanta Kowalska and Andrzej Kołodziej, In Search of Governing
Gas Flow Mechanism through Metal Solid Foams … Woei-Chong Tan and Kok-Keong Chong,
Simplification of heat transfer modelling for 3-D open cell copper foam by using …",Predicting the specific surface area and pressure drop of reticulated ceramic foams used as catalyst support,Advanced …,A Inayat
633,"LJ Gauckler, MM Waeber, C Conti",22,2016,No,Essential Readings in …,"LJ Gauckler, MM Waeber, C Conti… - Essential Readings in …, 2016 - Springer","… the already w idely used filtration through open pore ceramic foam filters using a … of a few microns
to ox i de skins of several milimeters. Holten Metal Clea ning Method s There are … left image
schematica l ly) = window size p = cell si z e Page 3. == CbõOUG @8 00 …",Industrial application of open pore ceramic foam for molten metal filtration,Essential Readings in …,LJ Gauckler
634,"D Edouard, M Lacroix, C Pham, M Mbodji",72,2008,No,AIChE …,"D Edouard, M Lacroix, C Pham, M Mbodji… - AIChE …, 2008 - Wiley Online Library","… Optical pictures of solid SiC foams showing the detail morphology and connection structure
of the material … Another important parameter of these structures is the foam porosity (ε) which
is the volume available for the fluids flow through the open‐cell structure …",Experimental measurements and multiphase flow models in solid SiC foam beds,AIChE …,D Edouard
635,"H Omar, DP Papadopoulos, SA Tsipas, H Lefaki",12,2009,No,Materials Letters,"H Omar, DP Papadopoulos, SA Tsipas, H Lefakis - Materials Letters, 2009 - Elsevier","… characteristics, are being mass-produced for a multitude of applications [1]. Open cell nickel
structures are seriously considered for catalyst support, fuel cell, and filter … may be compromised
due to oxidation and corrosion, causing embitterment or metal wastage …",Aluminizing nickel foam by a slurry coating process,Materials Letters,H Omar
636,"DP Mondal, N Jha, B Gull, S Das, A Badku",24,2013,No,Materials Science and …,"DP Mondal, N Jha, B Gull, S Das, A Badkul - Materials Science and …, 2013 - Elsevier","… The metal oxides (CaO and Al 2 O 3 ) and cenosphere further helps in increasing the … Because
of poor foam stabilisation, considerable amount of foam drainage take place, which finally also …
This kind of interaction of gas bubbles with each other leads to open cell foam structure …",Microarchitecture and compressive deformation behaviour of Al-alloy (LM13)–cenosphere hybrid Al-foam prepared using CaCO3 as foaming agent,Materials Science and …,DP Mondal
637,"GB Ribeiro, JR Barbosa Jr, AT Prat",36,2012,No,Applied Thermal Engineering,"GB Ribeiro, JR Barbosa Jr, AT Prata - Applied Thermal Engineering, 2012 - Elsevier","… The thermal-hydraulic performance of microchannel condensers with open-cell metal foams to
enhance the air-side heat transfer is investigated in this paper. Three different copper metal foam
structures with distinct pore densities (10 and 20 PPI) and porosities (0.893 and …",Performance of microchannel condensers with metal foams on the air-side: Application in small-scale refrigeration systems,Applied Thermal Engineering,GB Ribeiro
638,"S Chen, M Bourham, A Rabie",22,2015,No,Radiation Physics and Chemistry,"S Chen, M Bourham, A Rabiei - Radiation Physics and Chemistry, 2015 - Elsevier","… powder was used as the matrix materials for manufacturing high-Z steel–steel composite metal
foams (HZ S–S … using T=(Φ b −Φ t )/(Φ o −Φ b ) after acquiring the corresponding open beam
(Φ … conducted using an MTS 810 universal testing machine with a 980 kN load cell and a …",Attenuation efficiency of X-ray and comparison to gamma ray and neutrons in composite metal foams,Radiation Physics and Chemistry,S Chen
639,"M Taherishargh, IV Belova, GE Murch",14,2017,No,Journal of Alloys and …,"M Taherishargh, IV Belova, GE Murch… - Journal of Alloys and …, 2017 - Elsevier","… produced open cell foam with infiltration of elongated and spherical carbamide space holders …
to determine the volume fraction of aluminium based on the mass of particles and metal in the …
One can see the irregular shape of the pores on the surface of the foam with raw EP …",The effect of particle shape on mechanical properties of perlite/metal syntactic foam,Journal of Alloys and …,M Taherishargh
640,"R Liu, A Antonio",15,2012,No,Scripta Materialia,"R Liu, A Antoniou - Scripta Materialia, 2012 - Elsevier","… not penetrate through the entire thickness of the NP Pt sample (Figure 3d) indicates that the
combination of mismatch elastic properties and fracture toughness between the initial alloy and
NP foam do not … In our work we have synthesized open-cell NP metal foams that have …","A relation between relative density, alloy composition and sample shrinkage for nanoporous metal foams",Scripta Materialia,R Liu
641,"O Reutter, E Smirnova",14,2008,[PDF] dlr.de,Journal of …,"O Reutter, E Smirnova… - Journal of …, 2008 - … .asmedigitalcollection.asme.org",2,Characterization of air flow through sintered metal foams,Journal of …,O Reutter
642,"T Lee, RS Lake",68,1997,[PDF] semanticscholar.org,Journal of materials science,"T Lee, RS Lakes - Journal of materials science, 1997 - Springer","… as synthetic), have a convex cell shape and exhibit a positive Poisson's ratio, typically 0.3$0.1
for synthetic foams nearly zero … and studying re-entrant polyurethane foam (Scott industrial foam)
[4, 5, 6], silicone rubber foam [5] and metal foam [4, 5, 7] dealt with open-cell foam …",Anisotropic polyurethane foam with Poisson'sratio greater than 1,Journal of materials science,T Lee
643,"Y Sun, R Burgueño, W Wang, I Le",10,2015,[HTML] sciencedirect.com,International Journal of Solids and …,"Y Sun, R Burgueño, W Wang, I Lee - International Journal of Solids and …, 2015 - Elsevier","… Such boundary conditions work well for traditional metal foams composed of ductile ligaments …
was used in the contact definition between the rigid surfaces and the foam model … The densification
feature in the compressive response of open cell foams follows from the contact that …",[HTML][HTML] Modeling and simulation of the quasi-static compressive behavior of Al/Cu hybrid open-cell foams,International Journal of Solids and …,Y Sun
644,"J Liu, Q Qu, Y Liu, R Li, B Li",19,2016,No,Journal of Alloys and Compounds,"J Liu, Q Qu, Y Liu, R Li, B Liu - Journal of Alloys and Compounds, 2016 - Elsevier","… Author links open overlay panelJiaanLiu a QingxiangQu a YanLiu b RongguangLi c … of aluminum
foam under dynamic loading mainly results from the plastic bending of the cell wall at … on ductile
metal foams and very few studies are reported on brittle metal–matrix composite …",Compressive properties of Al-Si-SiC composite foams at elevated temperatures,Journal of Alloys and Compounds,J Liu
645,ZJLLU ZiXin,10,2007,No,Journal of Mechanical Strength,"ZJLLU ZiXing - Journal of Mechanical Strength, 2007 - en.cnki.com.c","… Lin (Nanjing University of Aeronautics and Astronautics, Nanjing 210016, China);Anisotropic
Elastic Properties of Foam Metal with Open … and Astronautics, Beijing 100083, China);FINITE
ELEMENT ANALYSIS FOR THE ELASTIC MODULUS OF OPEN-CELL FOAMS BASED ON …",FINITE ELEMENT ANALYSIS FOR THE ELASTIC PROPERTIES OF CLOSED-CELL FOAMS BASED ON A TETRAKAIDECAHEDRON MODEL [J],Journal of Mechanical Strength,
646,"H Tawfik, Y Hung, D Mahaja",612,2007,No,Journal of power sources,"H Tawfik, Y Hung, D Mahajan - Journal of power sources, 2007 - Elsevier","… Volume 163, Issue 2, 1 January 2007, Pages 755-767. Journal of Power Sources. Review. Metal
bipolar plates for PEM fuel cell—A review. Author links open … Furthermore, it was seen that with
a decrease in permeability of the metal foam, the cell performance increased …",Metal bipolar plates for PEM fuel cell—a review,Journal of power sources,H Tawfik
647,"Y Mu, G Ya",14,2010,No,Materials Science and Engineering: A,"Y Mu, G Yao - Materials Science and Engineering: A, 2010 - Elsevier","… [9], [10] have also made deeper study on the anisotropic mechanical properties of open-cell
aluminum foams … Al–Si closed-cell aluminum foams were produced by melt route in Northeastern
University of … Al–Si alloy (6.5–7.5 wt.% Si, 0.25–0.45 wt.% Mg), high purity metal Ca and …",Anisotropic compressive behavior of closed-cell Al–Si alloy foams,Materials Science and Engineering: A,Y Mu
